iter	RMSE
171	4.934761739
172	4.930349308
173	4.924583195
174	4.918579534
175	4.915185203
176	4.912272193
177	4.910880244
178	4.90543088
179	4.903769016
180	4.898648075
181	4.895120403
182	4.890924012
183	4.888233323
184	4.88588592
185	4.879855054
186	4.87319666
187	4.871883809
188	4.869688873
189	4.866073223
190	4.860190342
191	4.857795544
192	4.855497195
193	4.854989776
194	4.850957867
195	4.845352962
196	4.84012301
197	4.838740737
198	4.835929715
199	4.832280742
200	4.826074424
201	4.821474041
202	4.816239764
203	4.812270451
204	4.809535566
205	4.806141245
206	4.801317791
207	4.798988268
208	4.79414868
209	4.790356382
210	4.786346419
211	4.783753705
212	4.779419316
213	4.774892356
214	4.773666942
215	4.768973033
216	4.766600919
217	4.761186971
218	4.758141908
219	4.754832398
220	4.754304417
221	4.749143482
222	4.74623948
223	4.742023239
224	4.739411587
225	4.735492257
226	4.73183112
227	4.730547597
228	4.727185831
229	4.72418831
230	4.72148412
231	4.719442057
232	4.71746484
233	4.712123474
234	4.706628849
235	4.701418465
236	4.698429346
237	4.696104112
238	4.691850323
239	4.686547932
240	4.684212802
241	4.683686742
242	4.681660001
243	4.679600608
244	4.678536726
245	4.673771121
246	4.672607833
247	4.669570198
248	4.665766046
249	4.662726098
250	4.660135105
251	4.659757754
252	4.657233188
253	4.654407093
254	4.651418934
255	4.643118293
256	4.639261915
257	4.637282776
258	4.634448336
259	4.631331654
260	4.628581358
261	4.626421751
262	4.621886602
263	4.619116604
264	4.614721439
265	4.612235456
266	4.607836546
267	4.60713316
268	4.606821715
269	4.606297807
270	4.602081065
271	4.600164398
272	4.597298036
273	4.592506881
274	4.590468795
275	4.587482352
276	4.584851946
277	4.580775747
278	4.57915937
279	4.572036268
280	4.568662367
281	4.568259984
282	4.564420416
283	4.560925453
284	4.557730021
285	4.557449747
286	4.552253298
287	4.550027089
288	4.546622384
289	4.54370183
290	4.539129752
291	4.532289234
292	4.52762352
293	4.524694054
294	4.522732074
295	4.518700772
296	4.516117496
297	4.514230136
298	4.513060994
299	4.508268618
300	4.50594495
301	4.502352707
302	4.500025772
303	4.499412623
304	4.495162197
305	4.493701353
306	4.487956411
307	4.484224026
308	4.478540598
309	4.474601947
310	4.468424324
311	4.4641845
312	4.460735098
313	4.457313497
314	4.456797356
315	4.454349127
316	4.454093256
317	4.451987388
318	4.445053512
319	4.443318441
320	4.441587145
321	4.437287481
322	4.433519981
323	4.432560068
324	4.429913294
325	4.427698653
326	4.424096209
327	4.419729904
328	4.416968943
329	4.415355971
330	4.415108567
331	4.414133445
332	4.412518066
333	4.412174468
334	4.410210838
335	4.407117122
336	4.400820858
337	4.397882608
338	4.395843573
339	4.391753018
340	4.389301531
341	4.387409259
342	4.384724508
343	4.37878243
344	4.374991277
345	4.372750344
346	4.370497422
347	4.365785756
348	4.364562678
349	4.361705552
350	4.357308115
351	4.3559015
352	4.351542306
353	4.347455916
354	4.347205755
355	4.345826342
356	4.342587945
357	4.338900645
358	4.337610384
359	4.3333725
360	4.3285432
361	4.322494549
362	4.319075563
363	4.313459231
364	4.307760286
365	4.307447422
366	4.303387404
367	4.300838317
368	4.296987048
369	4.293469607
370	4.291014224
371	4.288255951
372	4.284594658
373	4.282719988
374	4.28053137
375	4.276959662
376	4.27165626
377	4.267827983
378	4.263554923
379	4.258755259
380	4.254342717
381	4.25305819
382	4.250702604
383	4.244987098
384	4.240307103
385	4.239032658
386	4.233663544
387	4.233123673
388	4.231348216
389	4.22984818
390	4.228408102
391	4.227560765
392	4.223269203
393	4.219000579
394	4.216634837
395	4.214439047
396	4.209695861
397	4.20948213
398	4.205975517
399	4.202514367
400	4.200402966
401	4.196112721
402	4.194770053
403	4.193104546
404	4.190161777
405	4.186491882
406	4.184195905
407	4.182773236
408	4.179809116
409	4.179124177
410	4.177906439
411	4.17228084
412	4.171016626
413	4.168472838
414	4.164849278
415	4.164584402
416	4.162123635
417	4.160425532
418	4.156640874
419	4.154619387
420	4.152517842
421	4.150622825
422	4.146567908
423	4.144060699
424	4.141016228
425	4.13911462
426	4.137180866
427	4.133799596
428	4.133317241
429	4.13230584
430	4.130390502
431	4.130051533
432	4.128010037
433	4.124030985
434	4.120271582
435	4.116189931
436	4.115096603
437	4.112557367
438	4.110014909
439	4.109342255
440	4.106305196
441	4.105987822
442	4.105460919
443	4.102610368
444	4.097703837
445	4.095838419
446	4.095354848
447	4.094830156
448	4.092992402
449	4.091250899
450	4.087384668
451	4.085648343
452	4.081973638
453	4.081647843
454	4.07935867
455	4.076969011
456	4.075461496
457	4.07362437
458	4.070481572
459	4.066497525
460	4.064181418
461	4.062596747
462	4.060004274
463	4.058144041
464	4.055654465
465	4.055211713
466	4.052435892
467	4.048994608
468	4.04734987
469	4.045100767
470	4.042274854
471	4.040355781
472	4.037705386
473	4.03576286
474	4.03547339
475	4.032880425
476	4.031104345
477	4.029694371
478	4.026166057
479	4.025019599
480	4.024892847
481	4.021315703
482	4.019634382
483	4.019492221
484	4.014464733
485	4.010937035
486	4.009127912
487	4.007383691
488	4.005353294
489	4.00305974
490	4.00114142
491	3.998650727
492	3.998433192
493	3.993672123
494	3.992439778
495	3.991808769
496	3.987254059
497	3.985532773
498	3.983933542
499	3.983074398
500	3.978217086
501	3.974475713
502	3.97290018
503	3.971171035
504	3.969761399
505	3.967645954
506	3.964662954
507	3.962163047
508	3.961869453
509	3.961184907
510	3.956687047
511	3.951890838
512	3.948195368
513	3.947820979
514	3.946349324
515	3.944144171
516	3.943392958
517	3.943185133
518	3.940702624
519	3.937601716
520	3.936092862
521	3.933739588
522	3.932155806
523	3.930793716
524	3.92979767
525	3.925883186
526	3.924565889
527	3.922124297
528	3.921749406
529	3.918414481
530	3.917812979
531	3.915019192
532	3.913733511
533	3.910802325
534	3.908819755
535	3.907315688
536	3.903410407
537	3.900306371
538	3.898122858
539	3.895347876
540	3.8906818
541	3.890572728
542	3.885830213
543	3.881000314
544	3.878832458
545	3.874324501
546	3.872446379
547	3.870585035
548	3.866277061
549	3.862730431
550	3.860073949
551	3.858342068
552	3.857791088
553	3.854518848
554	3.852265755
555	3.848907558
556	3.845146023
557	3.844889413
558	3.844726571
559	3.841900916
560	3.840383718
561	3.839139543
562	3.836328404
563	3.834206881
564	3.832525839
565	3.830607452
566	3.829262782
567	3.827529276
568	3.82512405
569	3.823865425
570	3.820752341
571	3.818666233
572	3.815680181
573	3.813240938
574	3.812367821
575	3.809256299
576	3.808113875
577	3.807885799
578	3.807699706
579	3.805666208
580	3.803331411
581	3.798827747
582	3.795912582
583	3.793675263
584	3.792711572
585	3.788863471
586	3.787058285
587	3.78604757
588	3.784159822
589	3.782781541
590	3.780353734
591	3.777927915
592	3.774241755
593	3.770607861
594	3.767094151
595	3.765483417
596	3.764204757
597	3.763950411
598	3.762551494
599	3.759989574
600	3.756627667
601	3.754864207
602	3.75302647
603	3.750575553
604	3.748180897
605	3.744948199
606	3.743045585
607	3.741378519
608	3.739818063
609	3.739686368
610	3.738017565
611	3.737184734
612	3.73468758
613	3.733099764
614	3.728959574
615	3.72737107
616	3.725358023
617	3.724969629
618	3.722534752
619	3.719562679
620	3.718485585
621	3.715967452
622	3.713573245
623	3.710336959
624	3.707026766
625	3.704331449
626	3.700290614
627	3.697980185
628	3.69519489
629	3.693864254
630	3.69314254
631	3.691140316
632	3.688634407
633	3.688143798
634	3.687771681
635	3.686447046
636	3.682885529
637	3.680956982
638	3.678999641
639	3.676514727
640	3.673507885
641	3.67247319
642	3.670025115
643	3.669694605
644	3.667954279
645	3.664979488
646	3.663206461
647	3.662007135
648	3.658199194
649	3.656591414
650	3.656500198
651	3.655582168
652	3.655223271
653	3.653793239
654	3.653221846
655	3.651811313
656	3.649986354
657	3.647932594
658	3.644332926
659	3.643068891
660	3.641335374
661	3.639792995
662	3.63701354
663	3.635973895
664	3.634796408
665	3.633052748
666	3.629747856
667	3.628111041
668	3.62786774
669	3.626708964
670	3.622924473
671	3.622760423
672	3.622242532
673	3.620613214
674	3.618983878
675	3.617608895
676	3.615093381
677	3.615014704
678	3.612893523
679	3.611548969
680	3.607562829
681	3.607378072
682	3.602659333
683	3.600320934
684	3.600157167
685	3.59776412
686	3.595609292
687	3.593615537
688	3.593310012
689	3.591161675
690	3.587787916
691	3.58615798
692	3.585332246
693	3.584824536
694	3.580712521
695	3.579123945
696	3.57769234
697	3.575198055
698	3.574950409
699	3.573856039
700	3.570748685
701	3.567386718
702	3.566399859
703	3.565306841
704	3.562192111
705	3.561556048
706	3.559911841
707	3.559189111
708	3.555259326
709	3.553052809
710	3.550035773
711	3.549798944
712	3.548076438
713	3.546244499
714	3.543936225
715	3.540928451
716	3.537077221
717	3.533421066
718	3.53327343
719	3.532176856
720	3.530591302
721	3.530482066
722	3.528541017
723	3.527357825
724	3.523138956
725	3.521123421
726	3.520888189
727	3.517281201
728	3.514617921
729	3.511373498
730	3.508827416
731	3.508499236
732	3.505761627
733	3.501707163
734	3.50073721
735	3.497102505
736	3.496216756
737	3.493142386
738	3.492548983
739	3.491421661
740	3.490777283
741	3.489203536
742	3.488638287
743	3.487061147
744	3.483951015
745	3.483499848
746	3.482302079
747	3.481901953
748	3.481055915
749	3.479977848
750	3.477717446
751	3.476384979
752	3.47505308
753	3.472451605
754	3.47160405
755	3.46952203
756	3.468514822
757	3.466991367
758	3.46311613
759	3.461405616
760	3.460163092
761	3.458895566
762	3.456591852
763	3.455587468
764	3.454131537
765	3.451299249
766	3.449579715
767	3.447358121
768	3.445767784
769	3.444509121
770	3.442760386
771	3.441191917
772	3.439513273
773	3.436394263
774	3.433912023
775	3.431033404
776	3.429748976
777	3.428484841
778	3.427620792
779	3.424522054
780	3.423295349
781	3.420901882
782	3.419588633
783	3.418721017
784	3.415843818
785	3.41475122
786	3.414423873
787	3.413633542
788	3.412305986
789	3.411294721
790	3.410125732
791	3.407957555
792	3.407312241
793	3.405222567
794	3.403995717
795	3.403383485
796	3.400712639
797	3.399801664
798	3.395944803
799	3.393884216
800	3.392911985
801	3.391103219
802	3.390830677
803	3.388941468
804	3.387348605
805	3.386424114
806	3.383700774
807	3.383100156
808	3.382762454
809	3.380717052
810	3.37763715
811	3.374198156
812	3.372913193
813	3.369035989
814	3.367867605
815	3.36391456
816	3.361951345
817	3.361032484
818	3.359848384
819	3.35908872
820	3.358175476
821	3.357538387
822	3.35576498
823	3.353547141
824	3.351924115
825	3.351687617
826	3.350161015
827	3.349035602
828	3.347975029
829	3.346972473
830	3.345008059
831	3.343882438
832	3.343129153
833	3.339826073
834	3.337466957
835	3.335400157
836	3.332782358
837	3.332693343
838	3.330759243
839	3.329570291
840	3.329478807
841	3.328960554
842	3.326161482
843	3.325324321
844	3.324044875
845	3.322493291
846	3.32133187
847	3.318574012
848	3.318439903
849	3.317503145
850	3.316078001
851	3.315255447
852	3.314073936
853	3.312790304
854	3.311519553
855	3.309746405
856	3.308943311
857	3.308581505
858	3.307689017
859	3.306982868
860	3.305426406
861	3.302678386
862	3.300057769
863	3.29985418
864	3.299123503
865	3.297668
866	3.29697776
867	3.295877359
868	3.295310884
869	3.293596194
870	3.29198061
871	3.291196364
872	3.287473506
873	3.285061875
874	3.282051731
875	3.280415491
876	3.277492478
877	3.276264782
878	3.27378979
879	3.273616736
880	3.270748103
881	3.269852401
882	3.268531354
883	3.267632259
884	3.26606569
885	3.264373784
886	3.261338226
887	3.259345989
888	3.256423243
889	3.25545981
890	3.252431942
891	3.251730404
892	3.25021876
893	3.249382931
894	3.246509173
895	3.245450005
896	3.244245077
897	3.241907245
898	3.240417767
899	3.24021676
900	3.239190925
901	3.235478302
902	3.235013394
903	3.23478373
904	3.233758482
905	3.231584062
906	3.229901733
907	3.229559168
908	3.228444348
909	3.228363081
910	3.227258985
911	3.22447298
912	3.2228944
913	3.222717809
914	3.218729329
915	3.21866972
916	3.216353959
917	3.213526348
918	3.213417385
919	3.212000089
920	3.210768131
921	3.208768789
922	3.20826308
923	3.207113605
924	3.205618742
925	3.204430549
926	3.203585677
927	3.202552395
928	3.20118595
929	3.196545018
930	3.19304465
931	3.19054875
932	3.190449844
933	3.188825492
934	3.186289003
935	3.185139366
936	3.185084166
937	3.183991673
938	3.181713541
939	3.180151352
940	3.178911532
941	3.17798744
942	3.177511704
943	3.175777038
944	3.173345037
945	3.173252423
946	3.171446048
947	3.170845305
948	3.168430318
949	3.166967061
950	3.166351426
951	3.164723594
952	3.161594547
953	3.160407817
954	3.157801289
955	3.157545557
956	3.157255345
957	3.154581325
958	3.152813117
959	3.152118913
960	3.151175062
961	3.148993085
962	3.148494583
963	3.148175008
964	3.148022976
965	3.147922485
966	3.145650013
967	3.143388016
968	3.142642046
969	3.139992994
970	3.138046166
971	3.135602107
972	3.135483699
973	3.135030005
974	3.134550115
975	3.132502083
976	3.130796607
977	3.130518388
978	3.129565137
979	3.125684779
980	3.12407028
981	3.121562592
982	3.121132505
983	3.118616439
984	3.117479998
985	3.116447509
986	3.113046742
987	3.111157287
988	3.110019516
989	3.109906716
990	3.108355668
991	3.106630608
992	3.104986953
993	3.103829953
994	3.101942068
995	3.101802849
996	3.101603967
997	3.100429521
998	3.099702038
999	3.098389205
